year,team,waiver_signed,waiver_spending,extended_signed,extended_spend,fa_signed,fa_spend,draft_spend,undraft_signed,undraft_spend,traded_from,traded_to,ttl_spend
2016,CIN,15,13254000,4,44275000,7,18980000,27394265,21,30786500,0,0,134689765
2016,CLE,13,7921000,0,0,9,36435000,52557078,11,17859000,3,2,114772078
2016,DAL,10,10881000,3,68071060,15,52520000,50478779,16,24328500,0,0,206279339
2016,DEN,21,28993000,4,200800000,14,79685000,29175719,25,37287000,1,1,361811719
2016,DET,8,6970000,2,49750000,22,73675000,37081057,19,24328000,1,2,191804057
2016,GB,12,7740000,3,31300000,6,15750000,27980370,32,44208500,0,0,126978870
2016,HOU,16,17896000,1,6000000,9,139710000,26071274,19,29192000,0,0,218869274
2016,IND,10,11811000,3,158370000,12,24395000,30917989,26,38929500,0,0,264423489
2016,JAC,15,19434000,2,48650000,12,230040000,43489495,10,14585000,0,0,356198495
2016,KC,18,9090000,6,129342000,12,74660000,28585904,14,16216000,2,1,257893904
2016,LAR,2,1980000,3,104500000,13,49651666,41183174,26,40534500,0,0,237849340
2016,MIA,23,28035000,1,15000000,17,33985000,34854413,13,21071000,2,2,132945413
2016,MIN,14,13210000,4,71250000,13,54360000,29491201,13,15485000,0,1,183796201
2016,NE,14,7125000,6,57980000,17,39545000,26325854,9,12990000,2,3,143965854
2016,NO,16,12565000,5,135740000,21,74770000,27190742,27,38926000,0,1,289191742
2016,NYG,13,10750000,3,17550000,19,213805000,29959089,23,29175000,0,0,301239089
2016,NYJ,22,32693000,1,86000000,16,63700000,28297144,17,22737500,0,1,217726644
2016,LV_OAK,8,7986000,2,50430000,9,156125000,31181158,27,40505000,1,0,286227158
2016,PHI,14,19670000,10,338740000,14,119285000,44726834,25,40628000,6,1,563049834
2016,PIT,27,19805000,4,23665000,7,27990000,26925753,17,19901000,0,1,118286753
2016,LAC,10,5970000,3,78200000,11,70865000,48699085,25,38892000,0,0,242626085
2016,SEA,27,13750000,3,58000000,16,62745000,34717466,25,30832000,0,2,200044466
2016,SF,8,7715000,5,68577000,4,14644000,53837942,15,23676500,3,2,168450442
2016,TB,14,15325000,2,52250000,8,74750000,34746937,24,37313000,0,0,214384937
2016,TEN,8,10940000,2,15275000,11,57510000,49646928,18,27546000,1,2,160917928
2016,WAS,18,36578000,4,59255000,13,104620000,25083560,23,32444500,0,0,238028060
2015,ARI,15,14181000,3,2919375,15,72715000,25854148,19,30018000,0,1,145687523
2015,ATL,16,16250000,5,84781045,15,55895000,33175710,25,39406000,0,1,229507755
2015,BAL,21,14008000,4,80608045,10,34915000,31137308,23,36322000,3,0,196990353
2015,BUF,18,16535000,4,99600000,15,73525000,17175212,18,28423000,1,2,235258212
2015,CAR,19,11431500,7,160150000,12,22415000,22059239,13,20544000,0,1,236599739
2015,CHI,8,8335000,2,1785000,19,87685000,33255547,22,34733000,2,2,165793547
2015,CIN,13,12756000,3,19085000,14,58645000,32108339,17,25688000,0,0,148282339
2015,CLE,16,11344000,1,12800000,13,68735000,46664702,16,23630000,0,1,163173702
2015,DAL,14,25285000,6,142306000,16,38306600,27571593,22,34125000,0,0,254771193
2015,DEN,20,24955000,3,82450000,11,34145000,30271465,13,20508500,2,1,179506965
2015,DET,16,14444500,6,47633730,13,15175000,25763888,17,23690000,4,3,126707118
2015,GB,13,14417000,3,75100000,4,5855000,26974775,25,39445000,0,0,161791775
2015,HOU,10,9780000,5,107000000,14,49035000,30498790,21,47382000,4,1,243695790
2015,IND,16,18501000,5,85000000,12,80865000,26796861,27,41019000,0,1,252181861
2015,JAC,11,9525000,1,6000000,8,176445000,45254644,15,23672500,1,0,260897144
2015,KC,21,32280000,4,121275000,13,95150000,32797543,23,36314000,1,1,304621543
2015,MIA,17,16632000,4,126250000,16,155450000,28042408,19,30003500,2,1,349306908
2015,MIN,11,11167000,4,21150000,8,15190000,38399940,14,21604000,1,2,107510940
2015,NE,14,11791000,6,88320000,20,38610000,34545877,16,25250500,2,4,194391377
2015,NO,9,6875000,8,76490000,15,42120000,40669224,19,30006200,4,2,196160424
2015,NYG,19,30198000,0,0,19,69910000,30940311,18,28402500,0,1,144637811
2015,NYJ,11,12571000,3,49500000,20,182826060,35198143,14,22105000,0,4,302200203
2015,LV_OAK,17,15158000,1,3200000,19,150305000,49249361,25,39458000,1,0,257370361
2015,PHI,10,17533000,6,136595000,8,59215000,24392099,20,31586500,4,2,269321599
2015,PIT,20,15801000,6,156245000,10,13215000,28498695,20,31550000,1,2,245309695
2015,LAC,9,13855000,5,200600000,8,57850000,23340234,23,36314500,1,0,331959734
2015,SEA,25,24111000,3,154600000,11,29730000,21927639,19,28428000,2,3,258796639
2015,SF,10,11168405,2,8080000,12,66585000,35640176,14,20544000,3,2,142017581
2015,LAR,14,15173000,1,24540000,7,43135017,36531759,19,30007500,2,2,149387276
2015,TB,15,18497000,4,52320000,15,40705000,45195698,22,34732500,2,2,191450198
2015,TEN,11,9800000,2,20750000,17,134745000,48543472,20,31604000,1,0,245442472
2015,WAS,20,18787000,4,132160000,11,74530000,47681945,23,34699700,0,2,307858645
2014,ARI,17,17750000,0,51645000,17,65800000,24757582,23,33706000,0,0,142013582
2014,ATL,7,7496000,0,30000000,16,110425000,39459123,24,35217500,1,1,192597623
2014,BAL,10,36080000,0,0,16,82910000,30785211,25,33735000,1,1,183510211
2014,BUF,16,17320000,0,26955000,16,59440000,37404338,13,16868000,1,3,131032338
2014,CAR,22,49480000,0,0,18,35279000,21363323,11,15380000,1,0,108386323
2014,CHI,27,26980001,0,156000000,26,98825001,28902775,16,22984250,0,0,177692027
2014,CIN,13,14352000,0,7425000,10,8970000,26465388,14,21461000,0,0,71248388
2014,CLE,13,21839000,0,0,17,90285000,34994808,27,16895000,0,0,153974808
2014,DAL,12,11936882,0,0,17,44336000,30898501,31,42920500,1,2,130091883
2014,DEN,24,14402000,0,0,7,127645000,20429138,16,21467000,0,1,183943138
2014,DET,22,19887000,0,0,14,58215000,32363890,21,55199000,0,0,165664890
2014,GB,13,50430000,0,0,9,48428125,29900575,21,32190500,1,0,160949200
2014,HOU,10,7945000,0,0,15,32355000,47933003,28,29123500,2,2,117356503
2014,IND,15,27660000,0,0,16,104870000,13375277,30,33737000,2,1,179642277
2014,JAC,16,27690000,0,0,14,112985000,44237538,17,23019500,1,0,207932038
2014,KC,24,14725000,0,0,16,23680000,20744864,26,18421500,1,1,77571364
2014,MIA,11,41915000,0,0,20,102685000,27081569,28,39860000,1,0,211541569
2014,MIN,15,67730000,0,0,15,57125000,39324058,15,23007000,0,0,187186058
2014,NE,10,9395000,0,0,17,68345000,27867523,24,32612000,3,3,138219523
2014,NO,15,19024500,0,0,17,95655000,21755536,22,30659000,1,0,160059036
2014,NYG,15,14796000,0,0,26,113770000,28068179,15,21445000,1,0,178079179
2014,NYJ,19,30842000,0,0,16,85920000,37521557,11,12260000,0,0,162987557
2014,LV_OAK,21,11740000,0,4355000,17,103905000,39185949,16,15330500,1,1,170161449
2014,PHI,15,41100000,0,78800000,9,38730000,25483427,19,18377500,2,3,123690927
2014,PIT,20,18184000,0,29355000,14,49160000,31201438,18,21420000,0,0,110211438
2014,LAC,13,74085000,0,0,14,28770000,21895602,23,30025500,0,0,154776102
2014,SEA,18,47469000,0,0,14,26650000,25486237,19,18436000,0,2,118041237
2014,SF,14,24505000,0,152225000,12,36065000,36510722,9,12274500,0,3,109355222
2014,LAR,8,6870000,0,18000000,13,42205498,55823719,14,18429500,0,0,123328717
2014,TB,17,15820000,0,0,24,152385000,30142242,20,27977000,4,2,226324242
2014,TEN,17,29385000,0,11350000,18,66490000,25408622,20,26062500,1,0,147346122
2014,WAS,15,48340000,0,0,18,108100000,20114822,16,18375500,0,0,183475322
2013,ARI,5,4018000,0,0,20,50013750,36341482,19,23619850,1,2,113993082
2013,ATL,3,34039500,1,103750000,6,64365000,25549533,26,28676646,0,0,256380679
2013,BAL,9,2023000,2,122210000,21,65295000,29205727,20,22848500,2,2,241582227
2013,BUF,9,30006000,1,25400000,12,26985000,30385773,19,20809500,2,2,126670273
2013,CAR,4,555000,0,0,13,14832500,21468392,22,14893000,0,0,51748892
2013,CHI,3,9500000,0,0,27,72326200,21629578,15,19341500,1,0,114347278
2013,CIN,8,39220000,1,39370000,16,58142250,33801829,17,5975000,0,0,165334079
2013,CLE,1,0,3,19447999,20,96240000,26052749,28,16372000,3,3,158112748
2013,DAL,6,16868000,3,152700000,13,11565000,24004980,20,4485000,0,1,198984980
2013,DEN,7,19567000,2,64177000,13,62226875,22961488,16,22347700,1,1,181452063
2013,DET,5,13828000,3,56510000,23,97250000,40704844,15,17870000,1,1,226162844
2013,GB,1,1323000,3,200750000,6,15400000,32415008,18,14889500,0,0,264777508
2013,HOU,1,0,0,0,11,31552500,28109175,25,26791500,1,1,86453175
2013,IND,6,4782000,0,0,13,142830000,22251778,19,10451000,4,3,177337778
2013,JAC,1,0,0,0,11,17110000,41530498,28,31232000,1,0,89872498
2013,KC,6,90400000,0,0,15,71080000,39932250,31,22392500,3,3,223804750
2013,MIA,6,19963000,3,62237087,15,159923750,41839802,20,22326500,1,0,297840139
2013,MIN,2,2808000,0,0,17,101305000,36940179,20,24042300,1,0,165095479
2013,NE,1,0,1,27000000,18,89685000,19731926,26,32765000,1,1,169181926
2013,NO,3,10078000,1,0,16,45700000,19704468,18,19374000,1,1,94856468
2013,NYG,10,46276000,0,0,17,20760000,24559536,10,11941000,0,0,103536536
2013,NYJ,6,6661000,0,0,24,29117500,37490227,20,16376000,1,1,89644727
2013,LV_OAK,1,0,0,0,25,45720000,34270714,24,28255000,1,1,108245714
2013,PHI,7,11607500,0,0,12,103895000,40026145,17,19389500,4,5,174918145
2013,PIT,4,11728000,1,7250000,12,13835000,34041102,16,23804500,1,1,90658602
2013,LAC,4,11918000,0,0,17,50960000,26230978,23,34227000,0,0,123335978
2013,SEA,2,2200000,2,92247008,14,26019000,26885784,17,11960000,3,4,159311792
2013,SF,3,2628000,2,36400000,17,28260001,35970556,13,17869000,3,3,121127557
2013,LAR,3,2840000,1,3445000,9,84376154,32736276,35,47607600,0,0,171005030
2013,TB,2,2950000,2,44120000,23,61995000,17650255,22,19806000,2,3,146521255
2013,TEN,3,9413000,0,0,23,113325000,32636476,16,16428000,0,0,171802476
2013,WAS,8,33063000,0,0,17,20620000,18342518,20,18775000,0,0,90800518
