year,team,rswp,ps_points,qb_cap_share,rb_cap_share,wr_cap_share,te_cap_share,ol_cap_share,dl_cap_share,lb_cap_share,sec_cap_share,st_cap_share,norm_total_spend,traded_from,traded_to,norm_fa_spend,ext_spend_rank,avg_age,qb_pa,rb_pa,wr_pa,te_pa,ol_pa,dl_pa,lb_pa,sec_pa,st_pa
2020,IND,0.688,1,0.220510173,0.025258216,0.090948603,0.049826356,0.235642279,0.226363548,0.036945425,0.098018276,0.016487123,193975340.7,1,1,33092585.53,6,25.7,0.006093994,0.077113397,0.111763846,0,0.268099161,0.136115445,0.113543292,0.287270866,0
2020,JAC,0.063,0,0.020230809,0.031125217,0.094197685,0.049614361,0.245689888,0.152212564,0.20720495,0.158666008,0.041058517,121692549.8,5,0,91478543.55,32,24.9,0.004402944,0.195367337,0.09250436,0.026843068,0.129216829,0.11868805,0.268600842,0.164270217,0.000106351
2020,KC,0.875,4,0.035316611,0.021250732,0.184318428,0.063720282,0.183572684,0.230476919,0.107619409,0.149269547,0.024455389,179008971.4,0,0,16723805.23,1,25.9,0.289377616,0.167883537,0.083808209,0,0.028937762,0.15893509,0.185335233,0.085722554,0
2020,LV_OAK,0.5,0,0.156372878,0.037686225,0.089078832,0.077207893,0.257071745,0.154444085,0.0818879,0.135491825,0.010758617,183398672.8,1,1,66139829.44,5,25.8,0,0.198630347,0.195006603,0.152934312,0.112151829,0.034486994,0.08531155,0.221171268,0.000307097
2020,LAC,0.438,0,0.072111438,0.037899134,0.105859363,0.088676367,0.174403133,0.239483099,0.097824559,0.172052342,0.011690564,164447570.9,1,0,25980751.54,29,25.6,0,0.094891553,0.144345238,0.003822162,0.146261416,0.260314742,0.01294439,0.335320858,0.002099641
2020,LAR,0.625,2,0.187102652,0.029197476,0.103393603,0.0794934,0.143994981,0.212421434,0.090232161,0.115745082,0.038419211,143411498.6,3,1,117264779.5,26,25.1,0.212095478,0.009276074,0.201787277,0,0.121843195,0.108699912,0.168249696,0.178048366,0
2020,MIA,0.625,0,0.082788606,0.041771466,0.07318285,0.026370312,0.155467174,0.165354542,0.129476864,0.303814217,0.021773969,148407386.8,2,3,216893933.7,31,25,0.184726388,0.004781154,0.000108663,0.057482505,0.186378059,0.255704786,0.066870952,0.242121963,0.001825531
2020,MIN,0.438,0,0.139861786,0.045605447,0.114468202,0.071069322,0.121594901,0.12138341,0.159852043,0.199107501,0.027057388,141913650.7,1,2,40313239.43,12,25.5,0.000180297,0.104932929,0.148781191,0.078681667,0.334379057,0.052069811,0.021815953,0.254831963,0.004327131
2020,NE,0.438,0,0.01760706,0.075089652,0.110459895,0.015182835,0.248394652,0.125707303,0.042616604,0.348553809,0.01638819,140169348.4,2,1,24706651.85,20,26.4,0.000180297,0.104932929,0.148781191,0.078681667,0.334379057,0.052069811,0.021815953,0.254831963,0.004327131
2020,NO,0.75,2,0.183712808,0.058019711,0.084030781,0.074020856,0.154577314,0.173452819,0.069576396,0.143580253,0.059029062,154752989,0,0,67629301.84,10,26.7,0.008176051,0.148745025,0.117380511,0.045904094,0.219512195,0.053627014,0.13619528,0.260451554,0.010008275
2020,NYG,0.375,0,0.048055701,0.074203426,0.139086618,0.043131972,0.210675185,0.144982781,0.137558771,0.163071256,0.039234291,154223251,0,1,98710986.27,24,25.7,0,0.045710729,0.023512327,0.014868089,0.31050102,0.207357975,0.074513329,0.323536531,0
2020,NYJ,0.125,0,0.08122781,0.01809506,0.151142823,0.039759455,0.232890035,0.155111989,0.169352933,0.138963691,0.013456203,116141884.2,1,2,85403219.12,22,26,0.161973013,0.232930094,0.001891011,0.067157387,0.221318936,0.164844875,0.015499218,0.134385466,0
2020,PHI,0.281,0,0.121251712,0.019234487,0.170002807,0.08685593,0.221847565,0.231652742,0.026071116,0.097769642,0.025313997,160363283.4,0,2,45860787.33,16,26,0.228420978,0.01309329,0.054945055,0.011161826,0.144859766,0.294070407,0.004513525,0.247572964,0.00136219
2020,PIT,0.75,1,0.14420767,0.020929502,0.030864278,0.046199283,0.190690807,0.179505687,0.195523199,0.167774747,0.024304827,161263095.2,0,1,31113423.57,27,26,0.074859995,0.078098213,0.236923311,0.078098213,0.157567907,0.225570498,0.022019886,0.126861976,0
2020,SF,0.375,0,0.156581046,0.069128457,0.058997244,0.046106815,0.192565224,0.214934378,0.025477279,0.199915653,0.036293903,162514020.8,1,2,40412991,23,26.6,0.000303501,0.129112885,0.073768589,0.016692554,0.114509132,0.345241283,0.163515612,0.151464839,0.005391606
2020,SEA,0.75,1,0.174005088,0.052579407,0.088087812,0.064221331,0.141670383,0.169889875,0.159605772,0.120159409,0.029780924,166182622.6,3,1,14584133.91,3,26.2,0.00785546,0.004749813,0.182502421,0.005900729,0.12744113,0.543999708,0.080344909,0.040446482,0.006759349
2020,TB,0.688,5,0.143439465,0.036508078,0.074177826,0.098339039,0.207736376,0.108676287,0.25536401,0.054268397,0.021490522,174062042.2,0,1,67722252.17,21,26.3,0,0.088369375,0.027586207,0.102279369,0.148918761,0.142255991,0.218585622,0.268147282,0.003857393
2020,TEN,0.688,1,0.125593732,0.044909014,0.113746221,0.034290034,0.253060186,0.144829507,0.055087683,0.195184665,0.033298958,166862621.8,1,0,26341217.46,4,26.5,0.00162333,0.018697278,0.336261124,0.014494014,0.119430675,0.129750413,0.193640027,0.186103139,0
2020,WAS,0.438,1,0.137278196,0.027009524,0.029163423,0.035191108,0.230906239,0.233425804,0.083326265,0.179862856,0.043836586,146934402.4,0,1,81921889.1,28,25.8,0.121252714,0.081528015,0.02997829,0.003256501,0.046792,0.626541642,0.054113354,0.036537484,0
2019,ARI,0.344,0,0.05884707,0.084625042,0.119883816,0.025896956,0.241526632,0.076400957,0.20929398,0.157326093,0.026199454,136977243.5,3,2,106119506.8,30,26.4,0.47745417,0.006351251,0.103285551,0.000111036,0.032089362,0.100598483,0.127691231,0.152418916,0
2019,ATL,0.438,0,0.109307773,0.057282285,0.09261922,0.03184487,0.221605789,0.247536422,0.047387487,0.168077655,0.024338499,159910664.3,1,0,68760291.09,8,26.5,0,0.017903037,0.12619543,0.035876007,0.305925136,0.153591972,0.11692921,0.243579209,0
2019,BAL,0.875,2,0.026411851,0.028908907,0.07775269,0.042099254,0.179159488,0.129753054,0.060303953,0.393257281,0.062353521,154050153.9,4,0,82903891.18,17,25.9,0.078494371,0.013974871,0.131912337,0.114933521,0.254812841,0.068803385,0.17715435,0.159914322,0
2019,BUF,0.625,1,0.042315347,0.029297487,0.11900263,0.065676353,0.199370473,0.301556055,0.069939004,0.131454138,0.041388514,151292103.8,3,1,178117548,21,26.3,0.190685435,0.030281518,0.068421053,0.014320685,0.100293758,0.309914321,0.190624235,0.095458996,0
2019,CAR,0.313,0,0.145351437,0.036623817,0.053601302,0.057185966,0.134872979,0.198681001,0.238380391,0.09596466,0.039338447,163066355.8,0,0,55219063.11,24,26.3,0.014907351,0.21484474,0.185000224,0.01446013,0.120004174,0.287413724,0.003935541,0.159285043,0.000149074
2019,CHI,0.5,0,0.080790002,0.010410241,0.170665679,0.0721957,0.114410072,0.105754802,0.203708815,0.224911678,0.017153011,167374884.5,1,1,44989813.04,14,26.2,0.323749517,0.03883749,0.054539342,0.05603357,0.109701279,0.032748509,0.36103052,0.023359773,0
2019,CIN,0.125,0,0.101547815,0.045277953,0.167597875,0.069253481,0.194165339,0.185410105,0.026846096,0.176702378,0.033198958,166371598.8,0,0,64983320.78,19,25.7,0.011896297,0.070065088,0.240004376,0.052097577,0.291773779,0.089235902,0.082508341,0.158507904,0.003910737
2019,CLE,0.375,0,0.065577144,0.018517674,0.196386199,0.036388879,0.192492518,0.197965142,0.080065187,0.202274197,0.010333059,175210971.4,5,6,70341517.89,31,25.4,0.237582456,0.037316971,0.085944167,0.045850434,0.057743102,0.299389112,0.02186192,0.212767687,0.001544151
2019,DAL,0.5,0,0.016247403,0.04110465,0.142514393,0.032799633,0.309983911,0.23891031,0.10065591,0.099002571,0.018781219,165492955.5,0,1,29652253.12,2,26.3,0.009836119,0.303901606,0.03811291,0.006650465,0.088672863,0.232979737,0.237873165,0.081973135,0
2019,DEN,0.438,0,0.045703036,0.031965775,0.028719287,0.052434001,0.175990276,0.130749633,0.267539756,0.229570182,0.037328054,144974964.3,1,3,121178809.7,32,25.7,0.155550287,0.039776619,0.103261156,0.119909383,0.183156841,0.122280175,0.235103525,0.040830304,0.000131711
2019,DET,0.219,0,0.197898195,0.01880375,0.103041528,0.042657675,0.167423556,0.15423123,0.094351655,0.181621594,0.039970816,156415109.6,0,1,174328433.1,27,26.2,0.002491382,0.070598801,0.022596251,0.209449868,0.293751267,0.084706973,0.194124975,0.121440366,0.000840117
2019,GB,0.813,3,0.175666959,0.012708091,0.09402441,0.092737436,0.267918744,0.052833122,0.133084061,0.135807108,0.03522007,167271639.9,2,1,180347296.4,25,25.5,0,0.010050543,0.016281299,0.031226399,0.135333759,0.127272991,0.235432522,0.441207227,0.003195259
2019,HOU,0.625,2,0.044142871,0.074075101,0.18218382,0.019837589,0.15681594,0.149221026,0.165548948,0.179053643,0.029121061,165367979.8,4,7,49039891.1,28,26,0.215038349,0.036323561,0.188696151,0.048992904,0.312343201,0.018421619,0.05988818,0.120296036,0
2019,IND,0.438,0,0.073873417,0.016617542,0.182468994,0.081342738,0.169334129,0.218223788,0.028337756,0.179882595,0.049919041,166708648.3,3,0,42010597.15,10,25.6,0,0.016926033,0.041751672,0,0.388848033,0.138326137,0.115647388,0.298500735,0
2019,JAC,0.375,0,0.083857796,0.060146007,0.090276649,0.034565437,0.205814091,0.246833295,0.063201545,0.194451503,0.020853679,149455531.5,0,0,128645309.2,16,25.6,0.004117124,0.206643644,0.041171243,0.027559985,0.129700665,0.139757247,0.245182627,0.205754975,0.00011249
2019,KC,0.75,5,0.063698537,0.041313955,0.178671187,0.088261041,0.202070524,0.145025943,0.083700798,0.159797533,0.037460483,140701763.7,4,4,80164069.63,7,25.9,0.295008238,0.036558757,0.09936768,0,0.021819477,0.272743465,0.125840495,0.148661887,0
2019,LV_OAK,0.438,0,0.1721974,0.049710511,0.094109848,0.038500447,0.271409547,0.106543578,0.060010837,0.196552365,0.010965467,144938914.3,2,1,173167409.4,13,25.6,0.554190605,0.049286018,0.068793527,0.102155801,0.067278739,0.020745202,0.022278462,0.115271646,0
2019,LAC,0.313,0,0.155248566,0.037156955,0.134541211,0.039730634,0.210270423,0.221467088,0.079834458,0.112687365,0.009063301,169372864.4,0,0,36764130.35,23,25.8,0.011023657,0.085488458,0.003439381,0.004133871,0.149921732,0.332253015,0.028022136,0.383446877,0.002270873
2019,LAR,0.563,0,0.069539354,0.072383138,0.160780696,0.024397517,0.189069407,0.18453469,0.139318755,0.124027536,0.035948908,162482442.5,0,0,20944138.37,6,25.6,0.002809393,0.001392691,0.181698122,0.066032752,0.143303078,0.364020554,0.076790088,0.161768237,0.002185084
2019,MIA,0.313,0,0.062676629,0.01845677,0.194628698,0.024146063,0.093837006,0.096519236,0.057103964,0.435907131,0.016724502,105097091.9,5,6,38517810.45,11,25.2,0.000146366,0.039226018,0.025818916,0.077573842,0.20245309,0.28699394,0.090073476,0.277567987,0.000146366
2019,MIN,0.625,2,0.163414893,0.020558182,0.122119957,0.032965354,0.132134815,0.207719278,0.073291241,0.230437295,0.017358987,176786655.4,1,2,35199905.98,12,25.5,0,0.123054804,0.166145129,0.099120433,0.333432003,0.03949594,0.022581191,0.211096076,0.005074425
2019,NE,0.75,1,0.134452395,0.073635924,0.115200597,0.01597345,0.141831662,0.062144969,0.149173233,0.282218368,0.025369401,162841884.7,3,5,60709393.47,18,27,0,0.123054804,0.166145129,0.099120433,0.333432003,0.03949594,0.022581191,0.211096076,0.005074425
2019,NO,0.813,1,0.161531562,0.021991209,0.074362966,0.037057059,0.257083188,0.151391031,0.124381313,0.130930494,0.041271178,159961611.4,1,1,80747010.39,4,26.2,0.038338589,0.163073999,0.1440235,0.000215992,0.27772258,0.083848114,0.051600501,0.23586332,0.005313404
2019,NYG,0.25,0,0.204959599,0.059756731,0.106930407,0.063338329,0.192895448,0.068475547,0.190628381,0.095475895,0.017539662,134864809,3,2,61160200.98,20,26,0,0.039516393,0.084273845,0.000148894,0.157231768,0.365295852,0.031416575,0.322116673,0
2019,NYJ,0.438,0,0.057219357,0.071328997,0.12050653,0.01536123,0.212021942,0.128311931,0.177115682,0.205804407,0.012329923,155612036.8,2,3,198724503.7,26,26.5,0.168097282,0.244506805,0.047815561,0.071182275,0.052345842,0.17107773,0.021138256,0.22383625,0
2019,PHI,0.563,1,0.090786905,0.036199886,0.131945974,0.052544048,0.244604827,0.196676886,0.050406985,0.183760397,0.013074091,144351962.9,3,5,57453669.34,1,26.6,0.28306939,0.008175131,0.025301376,0.012000393,0.017333902,0.294851197,0.116878149,0.242281168,0.000109293
2019,PIT,0.5,0,0.164340371,0.016495014,0.02629512,0.040645423,0.212716349,0.185594776,0.160273816,0.155789048,0.037850084,165435704.9,3,0,60447070.13,9,25.7,0.390013977,0.065215452,0.061171083,0.060962917,0.149820085,0.176078746,0.002557469,0.094180272,0
2019,SF,0.813,4,0.113801422,0.065986048,0.083889359,0.023816394,0.195703115,0.24644667,0.080880252,0.165239015,0.024237725,183830290.7,1,1,82316092.59,5,25.7,0.000304049,0.152310774,0.073150665,0.031835742,0.198919731,0.344147947,0.042191301,0.151738446,0.005401345
2019,SEA,0.688,2,0.169939008,0.031726954,0.07985465,0.042214412,0.211327762,0.169316772,0.176524011,0.093745745,0.025350686,153972564.5,3,3,62549543.12,3,25.5,0.007990995,0.004932077,0.109949219,0.004364974,0.178706146,0.54911025,0.075579347,0.063008567,0.006358426
2019,TB,0.438,0,0.133285144,0.0280191,0.125250465,0.065016306,0.245201792,0.16997201,0.146868721,0.06527291,0.021113553,168946284.9,1,1,45537388.72,22,25.4,0,0.062390592,0.02363212,0.098186633,0.017348175,0.192423358,0.211589389,0.355940572,0.03848916
